Lietuvos miestø geografinës koordinatës;;;;
;;;;
;;;;
Miestas;Geografinë platuma (N);Geografinë platuma (E);Geografinë platuma;Geografinë ilguma
Alytus;54,4014;24,0492;"54° 24' 00.05"" N";"24° 02' 00.57"" N"
Anykðèiai;55,5333;25,1;"55° 31' 00.60"" N";"25° 06' 00.00"" N"
Aukðtieji Paneriai;54,6262;25,181;"54° 37' 00.34"" N";"25° 10' 00.52"" N"
Birðtonas;54,6028;24,0206;"54° 36' 00.10"" N";"24° 01' 00.14"" N"
Birþai;56,2;24,75;"56° 12' 00.00"" N";"24° 45' 00.00"" N"
Druskininkai;54,0167;23,9667;"54° 01' 00.00"" N";"23° 58' 00.00"" N"
Elektrënai;54,7878;24,6711;"54° 47' 00.16"" N";"24° 40' 00.16"" N"
Gargþdai;55,7128;21,4033;"55° 42' 00.46"" N";"21° 24' 00.12"" N"
Garliava;54,8167;23,8667;"54° 49' 00.00"" N";"23° 52' 00.00"" N"
Grigiðkës;54,6694;25,0917;"54° 40' 00.10"" N";"25° 05' 00.30"" N"
Ignalina;55,35;26,1667;"55° 21' 00.00"" N";"26° 10' 00.00"" N"
Jonava;55,0722;24,2806;"55° 04' 00.20"" N";"24° 16' 00.50"" N"
Joniðkis;56,2333;23,6;"56° 13' 00.60"" N";"23° 36' 00.00"" N"
Jurbarkas;55,0833;22,7667;"55° 04' 00.60"" N";"22° 46' 00.00"" N"
Kaiðiadorys;54,8667;24,45;"54° 52' 00.00"" N";"24° 27' 00.00"" N"
Kalvarija;54,4167;23,2167;"54° 25' 00.00"" N";"23° 13' 00.00"" N"
Kaunas;54,8972;23,8861;"54° 53' 00.50"" N";"23° 53' 00.10"" N"
Kazlø Rûda;54,75;23,5;"54° 45' 00.00"" N";"23° 30' 00.00"" N"
Këdainiai;55,2833;23,9667;"55° 16' 00.60"" N";"23° 58' 00.00"" N"
Kelmë;55,6333;22,9333;"55° 37' 00.60"" N";"22° 55' 00.60"" N"
Klaipëda;55,7125;21,135;"55° 42' 00.45"" N";"21° 08' 00.06"" N"
Kretinga;55,89;21,2422;"55° 53' 00.24"" N";"21° 14' 00.32"" N"
Kupiðkis;55,8333;24,9667;"55° 49' 00.60"" N";"24° 58' 00.00"" N"
Kurðënai;55,9833;22,9167;"55° 58' 00.60"" N";"22° 55' 00.00"" N"
Lazdijai;54,2333;23,5167;"54° 13' 00.60"" N";"23° 31' 00.00"" N"
Lentvaris;54,65;25,0667;"54° 38' 00.60"" N";"25° 04' 00.00"" N"
Likiðkiai;54,4;23,981;"54° 23' 00.60"" N";"23° 58' 00.52"" N"
Marijampolë;54,5472;23,35;"54° 32' 00.50"" N";"23° 21' 00.00"" N"
